City,Cloudiness,Country,Date,Humidity,lat,lng,Max Temp,Wind Speed
ingraj bazar,32,IN,1552785164,58,25.0,88.15,291.813,3.11
kahului,20,US,1552784568,57,20.89,-156.47,301.48,3.1
kerrobert,40,CA,1552784311,59,51.92,-109.14,276.15,5.1
dalbandin,0,PK,1552785172,60,28.9,64.41,284.438,1.76
foca,0,TR,1552785128,86,38.67,26.76,284.82,2.1
dryden,1,CA,1552780800,49,49.79,-92.84,269.15,4.1
nador,0,MA,1552782600,71,35.17,-2.93,286.15,1.0
manaure,0,CO,1552785187,88,11.78,-72.45,299.088,11.86
coromandel,0,NZ,1552785184,57,-36.76,175.5,302.59,2.6
mugumu,8,TZ,1552785191,88,-1.84,34.67,289.188,1.86
fort smith,1,US,1552784798,71,35.39,-94.42,287.15,1.26
bara,8,NG,1552785200,24,10.41,10.6,297.463,3.91
krasnoslobodsk,92,RU,1552785202,91,54.42,43.79,271.888,4.21
chicama,75,PE,1552780800,83,-7.84,-79.15,295.15,5.7
sabha,0,LY,1552785206,70,27.03,14.43,281.913,1.06
cubuk,75,TR,1552784977,74,40.24,33.03,278.15,4.1
araouane,0,ML,1552785210,22,18.9,-3.53,292.388,3.76
los angeles,1,US,1552785027,20,34.05,-118.24,300.37,1.21
mount pleasant,1,US,1552784622,32,33.16,-94.97,287.15,1.5
jovellar,56,PH,1552785217,82,13.07,123.6,299.038,2.86
dakar,0,SN,1552782600,82,14.69,-17.45,293.15,4.1
kropotkin,64,RU,1552784417,10,45.43,40.58,280.93,2.91
